year,lhb,la,GPCluster,PracticeID,npat,npat_male,npat_fem,nm_0_4,nm_5_14,nm_15_44,nm_45_64,nm_65_74,nm_75_84,nm_85,nf_0_4,nf_5_14,nf_15_44,nf_45_64,nf_65_74,nf_75_84,nf_85
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98017,2747,1402,1345,82,136,491,389,179,108,17,67,161,436,349,184,103,45
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98019,5796,2902,2894,178,358,1014,815,319,179,39,143,334,999,825,334,173,86
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98031,11022,5382,5640,297,626,1902,1490,605,351,111,280,587,1972,1511,647,428,215
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98032,8740,4384,4356,218,496,1648,1159,476,282,105,216,494,1511,1198,485,320,132
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98035,9371,4540,4831,266,534,1633,1227,502,280,98,271,512,1647,1277,551,379,194
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98041,6716,3401,3315,216,448,1304,927,275,163,68,208,438,1257,857,285,170,100
2018,Abertawe Bro Morgannwg University LHB,Neath Port Talbot,Afan,W98627,2283,1183,1100,55,116,423,342,136,85,26,56,110,368,328,127,78,33
2018,Hywel Dda University LHB,Carmarthenshire,Amman/Gwendraeth,W92003,8197,3999,4198,223,461,1222,1143,580,293,77,178,465,1266,1207,619,325,138
2018,Hywel Dda University LHB,Carmarthenshire,Amman/Gwendraeth,W92013,4184,2101,2083,118,241,696,630,260,124,32,111,228,709,599,239,148,49
2018,Hywel Dda University LHB,Carmarthenshire,Amman/Gwendraeth,W92035,7374,3630,3744,206,388,1151,1022,509,273,81,186,361,1147,1064,528,327,131
2018,Hywel Dda University LHB,Carmarthenshire,Amman/Gwendraeth,W92036,10399,5039,5360,267,611,1624,1353,716,366,102,266,571,1711,1437,744,418,213
