year,PracticeID,lhb,lhbcode,GPCluster,pop,CHD,COPD,DEM,DIAB,EPI,HF,HYP,OBI,STR,AF
2017,W00141,Abertawe Bro Morgannwg,,Afan,"4,356",162,119,13,291,37,23,548,320,61,48
2017,W98017,Abertawe Bro Morgannwg,,Afan,"2,774",137,137,37,226,27,47,679,598,88,77
2017,W98019,Abertawe Bro Morgannwg,,Afan,"3,319",156,72,24,293,28,43,709,561,87,78
2017,W98031,Abertawe Bro Morgannwg,,Afan,"10,782",461,203,133,760,91,131,"1,659","1,470",241,255
2017,W98032,Abertawe Bro Morgannwg,,Afan,"8,927",354,222,30,602,88,58,"1,640",982,164,155
2017,W98035,Abertawe Bro Morgannwg,,Afan,"9,233",342,218,99,741,86,54,"1,547","1,344",205,231
2017,W98041,Abertawe Bro Morgannwg,,Afan,"6,770",259,193,52,508,61,49,"1,057","1,029",143,121
2017,W98051,Abertawe Bro Morgannwg,,Afan,"2,504",112,139,25,210,36,28,497,479,55,52
2017,W98627,Abertawe Bro Morgannwg,,Afan,"2,261",95,60,15,177,34,20,386,382,59,48
2017,W98016,Abertawe Bro Morgannwg,,Bay Health,"8,907",365,173,78,527,73,92,"1,341",716,192,273
2017,W98021,Abertawe Bro Morgannwg,,Bay Health,"21,566",720,305,169,"1,002",134,210,"2,736","1,182",437,533
2017,W98023,Abertawe Bro Morgannwg,,Bay Health,"7,433",233,153,32,334,39,43,965,698,128,133
2017,W98033,Abertawe Bro Morgannwg,,Bay Health,"7,704",351,107,66,434,38,85,"1,320",485,244,236
2017,W98045,Abertawe Bro Morgannwg,,Bay Health,"6,401",261,108,101,311,26,83,"1,001",470,163,194
2017,W98049,Abertawe Bro Morgannwg,,Bay Health,"9,271",285,102,75,376,40,106,"1,152",472,201,227
2017,W98053,Abertawe Bro Morgannwg,,Bay Health,"10,131",4,1,1,60,18,4,38,420,2,2
2017,W98055,Abertawe Bro Morgannwg,,Bay Health,"3,716",140,45,46,180,20,53,617,136,88,108
2017,W95010,Abertawe Bro Morgannwg,,Bridgend East Network,"18,007",684,275,146,"1,131",132,130,"2,317","1,281",426,412
2017,W95017,Abertawe Bro Morgannwg,,Bridgend East Network,"7,492",300,165,42,508,37,53,"1,255",673,177,163
2017,W95018,Abertawe Bro Morgannwg,,Bridgend East Network,"11,970",443,224,67,685,80,155,"1,700","1,477",263,228
2017,W95035,Abertawe Bro Morgannwg,,Bridgend East Network,"19,084",689,412,127,"1,096",135,191,"3,137","1,991",452,409
2017,W95069,Abertawe Bro Morgannwg,,Bridgend East Network,"5,441",221,150,31,354,53,96,735,505,174,124
2017,W95070,Abertawe Bro Morgannwg,,Bridgend East Network,"9,073",296,152,69,508,53,78,"1,564",651,217,190
2017,W95009,Abertawe Bro Morgannwg,,Bridgend North Network,"9,375",537,312,41,673,105,152,"1,922","1,353",232,264
2017,W95012,Abertawe Bro Morgannwg,,Bridgend North Network,"6,528",310,322,31,490,58,106,"1,256",479,168,176
2017,W95031,Abertawe Bro Morgannwg,,Bridgend North Network,"7,589",372,306,28,575,74,94,"1,508",905,180,151
2017,W95037,Abertawe Bro Morgannwg,,Bridgend North Network,"10,222",400,241,104,710,88,138,"1,511",539,259,236
2017,W95064,Abertawe Bro Morgannwg,,Bridgend North Network,"5,985",253,148,32,426,56,87,"1,241",598,142,138
2017,W95067,Abertawe Bro Morgannwg,,Bridgend North Network,"4,328",146,121,35,270,34,24,773,501,88,70
2017,W95079,Abertawe Bro Morgannwg,,Bridgend North Network,"4,402",143,73,18,260,33,30,608,518,79,64
2017,W95645,Abertawe Bro Morgannwg,,Bridgend North Network,"3,086",146,89,37,226,25,31,640,271,87,60
2017,W95034,Abertawe Bro Morgannwg,,Bridgend West Network,"10,297",423,221,68,647,81,98,"1,556",843,279,221
2017,W95041,Abertawe Bro Morgannwg,,Bridgend West Network,"13,926",807,392,191,968,106,308,"2,796","1,269",523,527
2017,W95063,Abertawe Bro Morgannwg,,Bridgend West Network,"8,331",370,181,41,438,59,102,"1,171",533,203,165
2017,W95643,Abertawe Bro Morgannwg,,Bridgend West Network,"1,965",104,49,22,131,17,20,446,102,74,72
2017,W98015,Abertawe Bro Morgannwg,,City Health,"4,923",147,213,12,230,41,39,484,461,68,47
2017,W98018,Abertawe Bro Morgannwg,,City Health,"4,569",124,105,25,299,27,30,580,311,70,73
2017,W98020,Abertawe Bro Morgannwg,,City Health,"4,548",195,127,25,347,27,93,593,373,119,89
2017,W98024,Abertawe Bro Morgannwg,,City Health,"6,293",289,148,85,425,48,50,"1,087",549,174,166
2017,W98027,Abertawe Bro Morgannwg,,City Health,"10,396",313,188,31,543,91,96,"1,053",532,256,151
2017,W98039,Abertawe Bro Morgannwg,,City Health,"4,239",158,106,15,256,36,39,505,423,75,54
2017,W98056,Abertawe Bro Morgannwg,,City Health,"5,157",183,100,58,325,41,42,889,565,93,95
2017,W98057,Abertawe Bro Morgannwg,,City Health,"7,601",245,208,73,433,50,61,867,416,138,100
2017,W98608,Abertawe Bro Morgannwg,,City Health,"2,781",101,82,12,198,26,15,383,249,40,18
2017,W98610,Abertawe Bro Morgannwg,,City Health,"1,668",53,33,5,84,13,12,245,113,28,35
2017,W98005,Abertawe Bro Morgannwg,,Cwmtawe,"10,765",369,197,51,618,97,150,"1,480","1,194",194,180
2017,W98022,Abertawe Bro Morgannwg,,Cwmtawe,"10,825",422,216,81,694,86,113,"1,461","1,034",241,251
