year,PracticeID,lhb,GPCluster,pop,CHD,COPD,DEM,DIAB,EPI,HF,HYP,OBI,STR,AF
2018,W00141,Abertawe Bro Morgannwg,Afan,4383,164,128,21,293,42,22,545,334,61,48
2018,W98017,Abertawe Bro Morgannwg,Afan,2752,132,132,40,214,30,50,686,576,88,82
2018,W98019,Abertawe Bro Morgannwg,Afan,5802,254,223,40,474,59,74,1191,952,144,139
2018,W98031,Abertawe Bro Morgannwg,Afan,11046,462,210,132,785,92,129,1745,1463,245,263
2018,W98032,Abertawe Bro Morgannwg,Afan,8720,343,220,43,605,87,59,1568,921,158,153
2018,W98035,Abertawe Bro Morgannwg,Afan,9335,337,240,80,742,92,55,1508,1137,201,246
2018,W98041,Abertawe Bro Morgannwg,Afan,6773,269,200,48,515,55,53,1057,993,145,129
2018,W98627,Abertawe Bro Morgannwg,Afan,2282,99,59,19,182,36,24,392,421,59,51
2018,W98016,Abertawe Bro Morgannwg,Bay Health,8849,358,170,74,503,73,95,1389,732,199,307
2018,W98021,Abertawe Bro Morgannwg,Bay Health,21375,710,290,171,994,136,214,2685,1166,446,536
2018,W98023,Abertawe Bro Morgannwg,Bay Health,7401,236,153,34,345,44,39,985,593,141,141
2018,W98033,Abertawe Bro Morgannwg,Bay Health,7686,341,103,63,430,36,89,1326,501,245,264
2018,W98045,Abertawe Bro Morgannwg,Bay Health,6394,254,102,91,308,23,77,984,497,159,211
2018,W98049,Abertawe Bro Morgannwg,Bay Health,9301,285,110,79,381,39,117,1170,491,195,246
2018,W98053,Abertawe Bro Morgannwg,Bay Health,9959,4,2,1,53,26,3,33,445,1,3
2018,W98055,Abertawe Bro Morgannwg,Bay Health,3698,143,43,46,179,21,58,609,158,93,117
2018,W95010,Abertawe Bro Morgannwg,Bridgend East Network,18094,674,266,139,1146,135,132,2357,1267,447,440
2018,W95017,Abertawe Bro Morgannwg,Bridgend East Network,7770,302,171,42,520,43,54,1287,719,194,177
2018,W95018,Abertawe Bro Morgannwg,Bridgend East Network,11739,426,203,61,675,75,137,1647,1024,269,236
2018,W95035,Abertawe Bro Morgannwg,Bridgend East Network,19100,713,408,125,1118,142,218,3253,2082,461,443
2018,W95070,Abertawe Bro Morgannwg,Bridgend East Network,14789,538,313,85,900,111,179,2312,1018,400,339
2018,W95009,Abertawe Bro Morgannwg,Bridgend North Network,9225,517,303,39,678,104,150,1910,1252,239,274
2018,W95012,Abertawe Bro Morgannwg,Bridgend North Network,6541,310,329,34,479,54,104,1281,482,178,192
2018,W95031,Abertawe Bro Morgannwg,Bridgend North Network,7626,359,302,28,599,79,92,1504,951,187,159
2018,W95037,Abertawe Bro Morgannwg,Bridgend North Network,10442,388,247,98,728,100,143,1588,796,269,256
2018,W95064,Abertawe Bro Morgannwg,Bridgend North Network,6128,250,158,32,449,57,94,1261,585,150,142
2018,W95067,Abertawe Bro Morgannwg,Bridgend North Network,4331,142,122,40,270,37,29,764,479,88,86
2018,W95079,Abertawe Bro Morgannwg,Bridgend North Network,4398,139,71,19,260,33,31,598,474,86,58
2018,W95645,Abertawe Bro Morgannwg,Bridgend North Network,3124,142,87,35,230,26,28,643,242,92,62
2018,W95034,Abertawe Bro Morgannwg,Bridgend West Network,10910,465,234,70,711,78,98,1693,1059,290,246
2018,W95041,Abertawe Bro Morgannwg,Bridgend West Network,15210,869,430,201,1098,122,300,3109,1184,616,610
2018,W95063,Abertawe Bro Morgannwg,Bridgend West Network,8445,361,182,35,452,60,104,1165,530,212,175
2018,W98015,Abertawe Bro Morgannwg,City Health,4986,153,219,11,244,45,40,507,436,73,52
2018,W98020,Abertawe Bro Morgannwg,City Health,4392,187,116,25,347,29,92,582,379,114,86
2018,W98024,Abertawe Bro Morgannwg,City Health,6119,273,139,93,413,48,57,1066,560,181,172
2018,W98027,Abertawe Bro Morgannwg,City Health,10467,315,200,27,574,96,88,1092,700,257,158
2018,W98039,Abertawe Bro Morgannwg,City Health,4316,158,95,14,260,35,39,543,615,75,73
2018,W98056,Abertawe Bro Morgannwg,City Health,5248,183,117,64,349,43,40,894,725,93,104
2018,W98057,Abertawe Bro Morgannwg,City Health,7816,246,214,73,446,58,63,895,533,137,115
2018,W98608,Abertawe Bro Morgannwg,City Health,6780,213,181,39,485,52,36,912,496,122,109
2018,W98610,Abertawe Bro Morgannwg,City Health,1479,49,30,6,81,9,12,218,104,30,33
2018,W98005,Abertawe Bro Morgannwg,Cwmtawe,10793,345,216,49,608,96,144,1567,1268,190,197
2018,W98022,Abertawe Bro Morgannwg,Cwmtawe,10983,421,214,77,718,90,126,1467,1081,241,268
2018,W98026,Abertawe Bro Morgannwg,Cwmtawe,6564,251,144,41,476,74,79,1081,934,163,161
2018,W98029,Abertawe Bro Morgannwg,Cwmtawe,7599,322,156,58,494,65,91,1241,933,190,181
2018,W98044,Abertawe Bro Morgannwg,Cwmtawe,6837,217,123,41,380,63,59,970,818,136,126
2018,W98008,Abertawe Bro Morgannwg,Llwchwr,8462,324,180,48,482,68,101,1482,852,146,196
2018,W98012,Abertawe Bro Morgannwg,Llwchwr,14066,574,230,141,918,100,162,2340,1193,363,383
2018,W98013,Abertawe Bro Morgannwg,Llwchwr,9070,311,152,66,489,71,86,1143,829,179,220
2018,W98034,Abertawe Bro Morgannwg,Llwchwr,11092,395,227,78,626,115,140,1644,1012,244,269
2018,W98787,Abertawe Bro Morgannwg,Llwchwr,4897,147,73,21,257,39,38,635,567,91,96
2018,W00144,Abertawe Bro Morgannwg,Neath,5548,197,124,24,361,35,35,778,736,108,112
2018,W98002,Abertawe Bro Morgannwg,Neath,9661,422,216,75,668,100,94,1673,1415,255,235
2018,W98006,Abertawe Bro Morgannwg,Neath,10135,396,264,75,670,91,123,1633,1646,288,282
2018,W98010,Abertawe Bro Morgannwg,Neath,8691,322,200,64,528,81,69,1349,1240,183,207
2018,W98036,Abertawe Bro Morgannwg,Neath,8604,337,154,54,551,80,51,1418,1159,191,205
2018,W98040,Abertawe Bro Morgannwg,Neath,6209,270,166,65,488,64,93,1145,887,152,194
2018,W98048,Abertawe Bro Morgannwg,Neath,5079,127,83,10,283,27,20,606,637,75,83
2018,W98785,Abertawe Bro Morgannwg,Neath,2549,66,60,4,153,24,15,344,158,40,42
2018,W98003,Abertawe Bro Morgannwg,Penderi,8375,309,203,34,540,87,60,1227,782,183,175
2018,W98004,Abertawe Bro Morgannwg,Penderi,8205,244,164,73,480,83,91,1034,806,175,131
2018,W98007,Abertawe Bro Morgannwg,Penderi,6491,279,150,30,455,54,70,899,846,144,138
2018,W98028,Abertawe Bro Morgannwg,Penderi,7749,274,167,36,499,54,80,981,951,139,133
2018,W98043,Abertawe Bro Morgannwg,Penderi,5280,204,160,26,342,38,52,882,500,142,105
2018,W98612,Abertawe Bro Morgannwg,Penderi,2114,45,112,3,133,14,14,283,263,29,24
2018,W00143,Abertawe Bro Morgannwg,Upper Valleys,3289,131,98,13,207,24,39,608,512,83,65
2018,W98001,Abertawe Bro Morgannwg,Upper Valleys,12689,497,293,131,748,97,114,2056,985,257,276
2018,W98030,Abertawe Bro Morgannwg,Upper Valleys,6067,273,159,56,500,67,94,1006,963,147,165
2018,W98046,Abertawe Bro Morgannwg,Upper Valleys,9549,403,287,75,703,79,131,1857,966,247,246
2018,W93007,Aneurin Bevan,Blaenau Gwent East,4946,184,141,33,320,40,51,741,344,100,99
2018,W93009,Aneurin Bevan,Blaenau Gwent East,5265,228,192,5,395,45,52,993,588,89,87
2018,W93068,Aneurin Bevan,Blaenau Gwent East,10333,462,312,102,840,104,102,2091,1665,258,212
2018,W93075,Aneurin Bevan,Blaenau Gwent East,7773,337,298,34,576,77,91,1551,859,149,160
2018,W93115,Aneurin Bevan,Blaenau Gwent East,6327,316,233,45,525,63,176,1310,1104,154,117
2018,W93032,Aneurin Bevan,Blaenau Gwent West,8596,337,201,57,545,77,78,1537,1012,179,152
