year,PracticeID,lhb,lhbcode,GPCluster,pop,CHD,COPD,DEM,DIAB,EPI,HF,HYP,LRN,MEN,OBI,OST,PAL,RAR,STR,AF,AST,CAN,FLU
2017,W00141,Abertawe Bro Morgannwg,,Afan,"4,356",162,119,13,291,37,23,548,19,69,320,7,3,25,61,48,359,100,951
2017,W98017,Abertawe Bro Morgannwg,,Afan,"2,774",137,137,37,226,27,47,679,17,38,598,33,23,21,88,77,331,93,783
2017,W98019,Abertawe Bro Morgannwg,,Afan,"3,319",156,72,24,293,28,43,709,19,40,561,17,17,30,87,78,323,95,862
2017,W98031,Abertawe Bro Morgannwg,,Afan,"10,782",461,203,133,760,91,131,"1,659",51,138,"1,470",23,49,71,241,255,792,296,"2,749"
2017,W98032,Abertawe Bro Morgannwg,,Afan,"8,927",354,222,30,602,88,58,"1,640",32,140,982,6,42,60,164,155,687,173,"2,182"
2017,W98035,Abertawe Bro Morgannwg,,Afan,"9,233",342,218,99,741,86,54,"1,547",64,76,"1,344",16,21,58,205,231,632,282,"2,473"
2017,W98041,Abertawe Bro Morgannwg,,Afan,"6,770",259,193,52,508,61,49,"1,057",35,108,"1,029",4,9,58,143,121,409,157,"1,434"
2017,W98051,Abertawe Bro Morgannwg,,Afan,"2,504",112,139,25,210,36,28,497,13,66,479,12,11,28,55,52,235,59,615
2017,W98627,Abertawe Bro Morgannwg,,Afan,"2,261",95,60,15,177,34,20,386,19,28,382,10,13,14,59,48,209,82,594
2017,W98016,Abertawe Bro Morgannwg,,Bay Health,"8,907",365,173,78,527,73,92,"1,341",47,108,716,30,21,67,192,273,554,308,"2,526"
2017,W98021,Abertawe Bro Morgannwg,,Bay Health,"21,566",720,305,169,"1,002",134,210,"2,736",51,251,"1,182",57,25,98,437,533,"1,631",755,"5,646"
2017,W98023,Abertawe Bro Morgannwg,,Bay Health,"7,433",233,153,32,334,39,43,965,19,110,698,27,20,52,128,133,532,181,"1,605"
2017,W98033,Abertawe Bro Morgannwg,,Bay Health,"7,704",351,107,66,434,38,85,"1,320",16,66,485,48,12,49,244,236,491,337,"2,752"
2017,W98045,Abertawe Bro Morgannwg,,Bay Health,"6,401",261,108,101,311,26,83,"1,001",8,65,470,45,7,40,163,194,381,238,"2,114"
2017,W98049,Abertawe Bro Morgannwg,,Bay Health,"9,271",285,102,75,376,40,106,"1,152",14,116,472,14,13,47,201,227,566,260,"2,322"
2017,W98053,Abertawe Bro Morgannwg,,Bay Health,"10,131",4,1,1,60,18,4,38,0,18,420,0,1,4,2,2,459,7,81
2017,W98055,Abertawe Bro Morgannwg,,Bay Health,"3,716",140,45,46,180,20,53,617,12,23,136,18,10,23,88,108,260,161,"1,114"
2017,W95010,Abertawe Bro Morgannwg,,Bridgend East Network,"18,007",684,275,146,"1,131",132,130,"2,317",77,187,"1,281",9,31,100,426,412,"1,289",486,"4,079"
2017,W95017,Abertawe Bro Morgannwg,,Bridgend East Network,"7,492",300,165,42,508,37,53,"1,255",16,56,673,5,7,61,177,163,515,198,"1,818"
2017,W95018,Abertawe Bro Morgannwg,,Bridgend East Network,"11,970",443,224,67,685,80,155,"1,700",48,81,"1,477",9,36,62,263,228,850,353,"2,565"
2017,W95035,Abertawe Bro Morgannwg,,Bridgend East Network,"19,084",689,412,127,"1,096",135,191,"3,137",86,229,"1,991",39,50,133,452,409,"1,477",508,"4,310"
2017,W95069,Abertawe Bro Morgannwg,,Bridgend East Network,"5,441",221,150,31,354,53,96,735,29,49,505,16,10,22,174,124,416,131,"1,118"
2017,W95070,Abertawe Bro Morgannwg,,Bridgend East Network,"9,073",296,152,69,508,53,78,"1,564",25,74,651,22,15,50,217,190,636,264,"2,095"
2017,W95009,Abertawe Bro Morgannwg,,Bridgend North Network,"9,375",537,312,41,673,105,152,"1,922",37,75,"1,353",28,45,55,232,264,727,284,"2,483"
2017,W95012,Abertawe Bro Morgannwg,,Bridgend North Network,"6,528",310,322,31,490,58,106,"1,256",52,75,479,20,77,66,168,176,658,196,"1,597"
2017,W95031,Abertawe Bro Morgannwg,,Bridgend North Network,"7,589",372,306,28,575,74,94,"1,508",34,78,905,13,7,62,180,151,673,175,"1,721"
2017,W95037,Abertawe Bro Morgannwg,,Bridgend North Network,"10,222",400,241,104,710,88,138,"1,511",62,107,539,17,14,66,259,236,732,306,"2,377"
2017,W95064,Abertawe Bro Morgannwg,,Bridgend North Network,"5,985",253,148,32,426,56,87,"1,241",39,46,598,38,34,50,142,138,453,155,"1,538"
2017,W95067,Abertawe Bro Morgannwg,,Bridgend North Network,"4,328",146,121,35,270,34,24,773,11,43,501,2,2,20,88,70,277,83,995
2017,W95079,Abertawe Bro Morgannwg,,Bridgend North Network,"4,402",143,73,18,260,33,30,608,21,35,518,20,8,48,79,64,328,97,839
2017,W95645,Abertawe Bro Morgannwg,,Bridgend North Network,"3,086",146,89,37,226,25,31,640,12,43,271,10,52,22,87,60,281,74,786
2017,W95034,Abertawe Bro Morgannwg,,Bridgend West Network,"10,297",423,221,68,647,81,98,"1,556",40,129,843,20,32,87,279,221,819,276,"2,416"
2017,W95041,Abertawe Bro Morgannwg,,Bridgend West Network,"13,926",807,392,191,968,106,308,"2,796",84,197,"1,269",161,72,116,523,527,"1,156",687,"4,703"
2017,W95063,Abertawe Bro Morgannwg,,Bridgend West Network,"8,331",370,181,41,438,59,102,"1,171",51,84,533,10,17,64,203,165,678,213,"1,821"
2017,W95643,Abertawe Bro Morgannwg,,Bridgend West Network,"1,965",104,49,22,131,17,20,446,3,20,102,7,17,29,74,72,141,84,744
2017,W98015,Abertawe Bro Morgannwg,,City Health,"4,923",147,213,12,230,41,39,484,31,89,461,6,1,15,68,47,371,73,752
2017,W98018,Abertawe Bro Morgannwg,,City Health,"4,569",124,105,25,299,27,30,580,21,82,311,4,10,18,70,73,272,59,"1,001"
2017,W98020,Abertawe Bro Morgannwg,,City Health,"4,548",195,127,25,347,27,93,593,12,39,373,3,7,25,119,89,278,101,"1,302"
2017,W98024,Abertawe Bro Morgannwg,,City Health,"6,293",289,148,85,425,48,50,"1,087",31,94,549,27,6,36,174,166,478,155,"1,850"
2017,W98027,Abertawe Bro Morgannwg,,City Health,"10,396",313,188,31,543,91,96,"1,053",35,166,532,2,9,49,256,151,796,231,"1,910"
2017,W98039,Abertawe Bro Morgannwg,,City Health,"4,239",158,106,15,256,36,39,505,11,71,423,4,8,15,75,54,262,88,790
2017,W98056,Abertawe Bro Morgannwg,,City Health,"5,157",183,100,58,325,41,42,889,23,41,565,7,47,38,93,95,386,107,"1,023"
2017,W98057,Abertawe Bro Morgannwg,,City Health,"7,601",245,208,73,433,50,61,867,36,74,416,17,16,31,138,100,505,129,"1,240"
2017,W98608,Abertawe Bro Morgannwg,,City Health,"2,781",101,82,12,198,26,15,383,31,42,249,1,4,13,40,18,134,27,503
2017,W98610,Abertawe Bro Morgannwg,,City Health,"1,668",53,33,5,84,13,12,245,4,23,113,3,1,14,28,35,103,46,397
2017,W98005,Abertawe Bro Morgannwg,,Cwmtawe,"10,765",369,197,51,618,97,150,"1,480",52,76,"1,194",31,13,38,194,180,742,263,"2,058"
2017,W98022,Abertawe Bro Morgannwg,,Cwmtawe,"10,825",422,216,81,694,86,113,"1,461",75,118,"1,034",28,9,85,241,251,684,322,"2,687"
2017,W98026,Abertawe Bro Morgannwg,,Cwmtawe,"6,791",250,136,39,511,73,74,"1,117",26,53,968,13,4,35,162,143,481,114,"1,734"
2017,W98029,Abertawe Bro Morgannwg,,Cwmtawe,"7,803",323,146,62,505,66,101,"1,239",28,52,958,5,11,56,206,171,446,208,"1,982"
2017,W98044,Abertawe Bro Morgannwg,,Cwmtawe,"6,765",222,122,38,370,60,65,954,35,93,709,37,12,41,128,113,520,175,"1,444"
