year,PracticeID,lhb,GPCluster,pop,CHD,COPD,DEM,DIAB,EPI,HF,HYP,LRN,MEN,OBI,OST,PAL,RAR,STR,AF,AST,CAN,FLU
2018,W00141,Abertawe Bro Morgannwg,Afan,4383,164,128,21,293,42,22,545,20,74,334,8,7,21,61,48,360,115,976
2018,W98017,Abertawe Bro Morgannwg,Afan,2752,132,132,40,214,30,50,686,16,37,576,26,19,23,88,82,317,101,770
2018,W98019,Abertawe Bro Morgannwg,Afan,5802,254,223,40,474,59,74,1191,31,109,952,24,29,64,144,139,561,167,1471
2018,W98031,Abertawe Bro Morgannwg,Afan,11046,462,210,132,785,92,129,1745,54,141,1463,26,23,69,245,263,795,334,2848
2018,W98032,Abertawe Bro Morgannwg,Afan,8720,343,220,43,605,87,59,1568,33,133,921,6,41,57,158,153,682,188,2183
2018,W98035,Abertawe Bro Morgannwg,Afan,9335,337,240,80,742,92,55,1508,62,101,1137,12,14,60,201,246,635,300,2478
2018,W98041,Abertawe Bro Morgannwg,Afan,6773,269,200,48,515,55,53,1057,40,109,993,4,10,55,145,129,383,159,1467
2018,W98627,Abertawe Bro Morgannwg,Afan,2282,99,59,19,182,36,24,392,21,32,421,9,12,16,59,51,220,88,613
2018,W98016,Abertawe Bro Morgannwg,Bay Health,8849,358,170,74,503,73,95,1389,44,105,732,40,9,64,199,307,593,339,2493
2018,W98021,Abertawe Bro Morgannwg,Bay Health,21375,710,290,171,994,136,214,2685,56,249,1166,62,30,102,446,536,1593,789,5636
2018,W98023,Abertawe Bro Morgannwg,Bay Health,7401,236,153,34,345,44,39,985,23,118,593,26,17,53,141,141,528,201,1652
2018,W98033,Abertawe Bro Morgannwg,Bay Health,7686,341,103,63,430,36,89,1326,15,78,501,51,13,44,245,264,477,346,2761
2018,W98045,Abertawe Bro Morgannwg,Bay Health,6394,254,102,91,308,23,77,984,7,63,497,39,7,36,159,211,361,246,2137
2018,W98049,Abertawe Bro Morgannwg,Bay Health,9301,285,110,79,381,39,117,1170,15,114,491,16,14,47,195,246,589,278,2336
2018,W98053,Abertawe Bro Morgannwg,Bay Health,9959,4,2,1,53,26,3,33,0,13,445,0,0,4,1,3,424,8,76
2018,W98055,Abertawe Bro Morgannwg,Bay Health,3698,143,43,46,179,21,58,609,13,26,158,19,17,23,93,117,271,157,1125
2018,W95010,Abertawe Bro Morgannwg,Bridgend East Network,18094,674,266,139,1146,135,132,2357,74,186,1267,7,33,104,447,440,1280,510,4093
2018,W95017,Abertawe Bro Morgannwg,Bridgend East Network,7770,302,171,42,520,43,54,1287,17,54,719,36,10,61,194,177,561,227,1875
2018,W95018,Abertawe Bro Morgannwg,Bridgend East Network,11739,426,203,61,675,75,137,1647,48,76,1024,10,39,63,269,236,787,365,2565
2018,W95035,Abertawe Bro Morgannwg,Bridgend East Network,19100,713,408,125,1118,142,218,3253,108,242,2082,41,59,135,461,443,1542,546,4378
2018,W95070,Abertawe Bro Morgannwg,Bridgend East Network,14789,538,313,85,900,111,179,2312,57,124,1018,36,15,75,400,339,1074,426,3295
2018,W95009,Abertawe Bro Morgannwg,Bridgend North Network,9225,517,303,39,678,104,150,1910,37,74,1252,27,46,57,239,274,713,294,2485
2018,W95012,Abertawe Bro Morgannwg,Bridgend North Network,6541,310,329,34,479,54,104,1281,45,72,482,18,73,63,178,192,665,198,1603
2018,W95031,Abertawe Bro Morgannwg,Bridgend North Network,7626,359,302,28,599,79,92,1504,38,88,951,14,5,61,187,159,642,192,1741
2018,W95037,Abertawe Bro Morgannwg,Bridgend North Network,10442,388,247,98,728,100,143,1588,61,112,796,16,13,68,269,256,763,333,2432
2018,W95064,Abertawe Bro Morgannwg,Bridgend North Network,6128,250,158,32,449,57,94,1261,41,51,585,35,37,52,150,142,474,162,1597
2018,W95067,Abertawe Bro Morgannwg,Bridgend North Network,4331,142,122,40,270,37,29,764,11,42,479,2,8,20,88,86,276,97,1006
2018,W95079,Abertawe Bro Morgannwg,Bridgend North Network,4398,139,71,19,260,33,31,598,19,35,474,26,6,48,86,58,308,108,860
2018,W95645,Abertawe Bro Morgannwg,Bridgend North Network,3124,142,87,35,230,26,28,643,14,48,242,8,36,23,92,62,288,80,798
2018,W95034,Abertawe Bro Morgannwg,Bridgend West Network,10910,465,234,70,711,78,98,1693,39,128,1059,21,31,89,290,246,891,344,2662
2018,W95041,Abertawe Bro Morgannwg,Bridgend West Network,15210,869,430,201,1098,122,300,3109,85,216,1184,134,92,128,616,610,1231,774,5301
2018,W95063,Abertawe Bro Morgannwg,Bridgend West Network,8445,361,182,35,452,60,104,1165,56,86,530,7,19,64,212,175,688,210,1854
2018,W98015,Abertawe Bro Morgannwg,City Health,4986,153,219,11,244,45,40,507,32,99,436,5,2,22,73,52,392,84,795
2018,W98020,Abertawe Bro Morgannwg,City Health,4392,187,116,25,347,29,92,582,13,38,379,3,5,23,114,86,274,106,1290
2018,W98024,Abertawe Bro Morgannwg,City Health,6119,273,139,93,413,48,57,1066,34,90,560,27,8,39,181,172,505,173,1820
2018,W98027,Abertawe Bro Morgannwg,City Health,10467,315,200,27,574,96,88,1092,52,185,700,2,10,55,257,158,821,237,1954
2018,W98039,Abertawe Bro Morgannwg,City Health,4316,158,95,14,260,35,39,543,15,72,615,15,4,18,75,73,303,90,783
2018,W98056,Abertawe Bro Morgannwg,City Health,5248,183,117,64,349,43,40,894,24,45,725,6,37,35,93,104,402,116,1057
2018,W98057,Abertawe Bro Morgannwg,City Health,7816,246,214,73,446,58,63,895,37,82,533,14,22,33,137,115,531,141,1272
2018,W98608,Abertawe Bro Morgannwg,City Health,6780,213,181,39,485,52,36,912,50,134,496,5,11,29,122,109,391,89,1430
2018,W98610,Abertawe Bro Morgannwg,City Health,1479,49,30,6,81,9,12,218,4,22,104,3,1,13,30,33,81,50,367
2018,W98005,Abertawe Bro Morgannwg,Cwmtawe,10793,345,216,49,608,96,144,1567,50,75,1268,28,10,38,190,197,783,282,2085
2018,W98022,Abertawe Bro Morgannwg,Cwmtawe,10983,421,214,77,718,90,126,1467,77,127,1081,31,6,82,241,268,692,341,2737
2018,W98026,Abertawe Bro Morgannwg,Cwmtawe,6564,251,144,41,476,74,79,1081,25,55,934,13,7,36,163,161,462,114,1701
2018,W98029,Abertawe Bro Morgannwg,Cwmtawe,7599,322,156,58,494,65,91,1241,27,53,933,6,9,60,190,181,452,198,1952
2018,W98044,Abertawe Bro Morgannwg,Cwmtawe,6837,217,123,41,380,63,59,970,35,87,818,34,9,38,136,126,538,186,1488
2018,W98008,Abertawe Bro Morgannwg,Llwchwr,8462,324,180,48,482,68,101,1482,41,86,852,35,13,51,146,196,749,268,1973
2018,W98012,Abertawe Bro Morgannwg,Llwchwr,14066,574,230,141,918,100,162,2340,58,145,1193,56,70,117,363,383,1059,546,3794
2018,W98013,Abertawe Bro Morgannwg,Llwchwr,9070,311,152,66,489,71,86,1143,27,97,829,14,10,40,179,220,713,172,2087
2018,W98034,Abertawe Bro Morgannwg,Llwchwr,11092,395,227,78,626,115,140,1644,76,88,1012,69,25,71,244,269,924,348,2661
2018,W98787,Abertawe Bro Morgannwg,Llwchwr,4897,147,73,21,257,39,38,635,24,33,567,3,9,39,91,96,339,127,1079
2018,W00144,Abertawe Bro Morgannwg,Neath,5548,197,124,24,361,35,35,778,38,69,736,4,9,43,108,112,477,143,1184
2018,W98002,Abertawe Bro Morgannwg,Neath,9661,422,216,75,668,100,94,1673,66,80,1415,42,13,72,255,235,828,320,2548
2018,W98006,Abertawe Bro Morgannwg,Neath,10135,396,264,75,670,91,123,1633,87,93,1646,134,31,104,288,282,887,337,2798
2018,W98010,Abertawe Bro Morgannwg,Neath,8691,322,200,64,528,81,69,1349,49,86,1240,18,27,71,183,207,661,306,2181
2018,W98036,Abertawe Bro Morgannwg,Neath,8604,337,154,54,551,80,51,1418,34,95,1159,15,23,61,191,205,592,217,2270
2018,W98040,Abertawe Bro Morgannwg,Neath,6209,270,166,65,488,64,93,1145,40,71,887,25,24,57,152,194,515,191,1699
2018,W98048,Abertawe Bro Morgannwg,Neath,5079,127,83,10,283,27,20,606,26,50,637,3,6,42,75,83,362,75,1079
2018,W98785,Abertawe Bro Morgannwg,Neath,2549,66,60,4,153,24,15,344,20,39,158,0,1,13,40,42,229,37,577
2018,W98003,Abertawe Bro Morgannwg,Penderi,8375,309,203,34,540,87,60,1227,60,109,782,15,13,56,183,175,712,229,1857
2018,W98004,Abertawe Bro Morgannwg,Penderi,8205,244,164,73,480,83,91,1034,32,99,806,7,21,33,175,131,525,188,1693
2018,W98007,Abertawe Bro Morgannwg,Penderi,6491,279,150,30,455,54,70,899,48,78,846,22,16,37,144,138,482,141,1403
2018,W98028,Abertawe Bro Morgannwg,Penderi,7749,274,167,36,499,54,80,981,37,73,951,22,19,42,139,133,512,131,1618
2018,W98043,Abertawe Bro Morgannwg,Penderi,5280,204,160,26,342,38,52,882,21,51,500,9,2,45,142,105,337,146,1333
2018,W98612,Abertawe Bro Morgannwg,Penderi,2114,45,112,3,133,14,14,283,15,20,263,2,2,8,29,24,102,52,416
2018,W00143,Abertawe Bro Morgannwg,Upper Valleys,3289,131,98,13,207,24,39,608,14,55,512,2,5,28,83,65,235,113,866
2018,W98001,Abertawe Bro Morgannwg,Upper Valleys,12689,497,293,131,748,97,114,2056,65,123,985,12,9,89,257,276,790,400,3015
2018,W98030,Abertawe Bro Morgannwg,Upper Valleys,6067,273,159,56,500,67,94,1006,28,59,963,13,19,47,147,165,422,205,1718
2018,W98046,Abertawe Bro Morgannwg,Upper Valleys,9549,403,287,75,703,79,131,1857,47,120,966,78,13,78,247,246,872,330,2569
2018,W93007,Aneurin Bevan,Blaenau Gwent East,4946,184,141,33,320,40,51,741,14,27,344,8,12,43,100,99,367,128,1183
2018,W93009,Aneurin Bevan,Blaenau Gwent East,5265,228,192,5,395,45,52,993,24,49,588,8,17,34,89,87,312,115,1227
2018,W93068,Aneurin Bevan,Blaenau Gwent East,10333,462,312,102,840,104,102,2091,48,99,1665,32,27,103,258,212,705,175,2595
2018,W93075,Aneurin Bevan,Blaenau Gwent East,7773,337,298,34,576,77,91,1551,33,70,859,17,29,77,149,160,532,207,2023
2018,W93115,Aneurin Bevan,Blaenau Gwent East,6327,316,233,45,525,63,176,1310,46,95,1104,57,13,59,154,117,489,195,1582
