year,name,PracticeID,lhb,lhbcode,la,lacode,GPCluster,clustercode,pop,CHD,COPD,DEM,DIAB,EPI,HF,HYP,LRN,MEN,OBI,OST,PAL,RAR,STR,AF,AST,CAN,FLU
2019,Aber Medical Centre,W00005,Aneurin Bevan,7A6,Caerphilly,544,Caerphilly South,CC605,"7,974", 328 , 220 , 44 , 551 , 71 , 59 ," 1,325 ", 33 , 82 , 914 , 11 , 16 , 86 , 157 , 169 , 532 , 216 ," 1,809 "
2019,Caritas Surgery,W00007,Betsi Cadwaladr,7A1,Wrexham,522,North & West Wrexham,CC113,"7,216", 240 , 188 , 41 , 428 , 54 , 91 ," 1,170 ", 35 , 74 , 835 , 23 , 28 , 40 , 117 , 151 , 558 , 217 ," 1,430 "
2019,Uwchaled Medical Practice,W00065,Betsi Cadwaladr,7A1,Conwy,516,Conwy West,CC105,"2,279", 64 , 127 , 18 , 136 , 15 , 21 , 349 , 3 , 8 , 329 , 3 , 15 , 12 , 31 , 56 , 137 , 53 , 626 
2019,Argyle Medical Group,W00067,Hywel Dda,7A2,Pembrokeshire,528,South Pembrokeshire,CC206,"22,595", 851 , 621 , 139 ," 1,557 ", 166 , 229 ," 3,742 ", 134 , 260 ," 1,954 ", 6 , 49 , 235 , 513 , 701 ," 1,584 ", 838 ," 6,269 "
2019,Bradley's Practice,W00076,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"14,792", 524 , 369 , 66 , 821 , 104 , 174 ," 2,229 ", 55 , 125 ," 1,395 ", 32 , 28 , 107 , 279 , 348 ," 1,117 ", 568 ," 3,402 "
2019,Ashgrove Medical Centre,W00133,Hywel Dda,7A2,Carmarthenshire,530,Llanelli,CC202,"7,660", 362 , 194 , 88 , 500 , 70 , 137 ," 1,254 ", 45 , 80 , 764 , 23 , 24 , 49 , 184 , 237 , 574 , 256 ," 2,033 "
2019,The Llwynhendy Health Centre,W00134,Hywel Dda,7A2,Carmarthenshire,530,Llanelli,CC202,"10,633", 418 , 245 , 99 , 779 , 107 , 136 ," 1,573 ", 68 , 91 ," 1,506 ", 83 , 55 , 101 , 263 , 272 , 851 , 340 ," 2,475 "
2019,Rosedale Medical Practice,W00141,Abertawe Bro Morgannwg,7A3,Neath Port Talbot,534,Afan,CC301,"4,459", 151 , 124 , 22 , 268 , 41 , 20 , 524 , 19 , 78 , 260 , 7 , 13 , 20 , 58 , 66 , 354 , 115 , 976 
2019,Amman Tawe Partnership,W00142,Hywel Dda,7A2,Carmarthenshire,530,Amman/Gwendraeth,CC201,"7,640", 357 , 256 , 42 , 563 , 59 , 107 ," 1,005 ", 28 , 75 , 813 , 24 , 36 , 59 , 185 , 210 , 600 , 251 ," 1,982 "
2019,Amman Tawe Partnership,W00143,Abertawe Bro Morgannwg,7A3,Neath Port Talbot,534,Upper Valleys,CC311,"3,207", 133 , 96 , 15 , 196 , 30 , 35 , 595 , 14 , 46 , 394 , 2 , 1 , 29 , 97 , 76 , 227 , 118 , 870 
2019,Waterside Medical Practice,W00144,Abertawe Bro Morgannwg,7A3,Neath Port Talbot,534,Neath,CC309,"5,527", 189 , 120 , 27 , 346 , 34 , 34 , 742 , 35 , 79 , 651 , 2 , 12 , 48 , 106 , 107 , 470 , 145 ," 1,178 "
2019,Plas Meddyg Surgery,W91002,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"10,177", 350 , 205 , 70 , 556 , 69 , 95 ," 1,721 ", 33 , 97 , 569 , 20 , 40 , 65 , 217 , 292 , 619 , 366 ," 2,832 "
2019,Clarence Medical Centre,W91003,Betsi Cadwaladr,7A1,Denbighshire,518,North Denbighshire,CC111,"16,209", 822 , 605 , 313 ," 1,216 ", 182 , 230 ," 2,963 ", 183 , 249 , 937 , 94 , 99 , 151 , 393 , 442 ," 1,173 ", 673 ," 4,526 "
2019,Strathmore Medical Practice,W91004,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"13,402", 521 , 309 , 112 , 832 , 107 , 162 ," 2,541 ", 85 , 181 ," 1,507 ", 51 , 37 , 109 , 336 , 386 , 946 , 523 ," 3,596 "
2019,Pendre Surgery,W91005,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"9,974", 369 , 301 , 48 , 652 , 52 , 92 ," 1,810 ", 26 , 71 , 886 , 19 , 9 , 72 , 174 , 224 , 591 , 316 ," 2,599 "
